top	초기화면		green|guide|mail|bbs|computer|potion|blindnews|magazin|pds|edu2013
himsqna	5. 한소네 묻고 답하기	hims	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himsqna&mo=hims&&gonum=&s_que=
himsqna2	6. 책마루 묻고 답하기	hims	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himsqna2&mo=hims&&gonum=&s_que=
himsfaq	7. 자주 묻는 질문과 답변	hims	himsfaq1|himsfaq2|himsfaq3
himsfaq1	1. 한소네 제품	himsfaq	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himsfaq1&mo=himsfaq&&gonum=&s_que=
himsfaq2	2. 책마루 제품	himsfaq	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himsfaq2&mo=himsfaq&&gonum=&s_que=
himsfaq3	3. 확대기 제품	himsfaq	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himsfaq3&mo=himsfaq&&gonum=&s_que=
himsstudy1	8. 강의실	hims	himslect1|himslect2|himslect3|himslect4|himslect5|himslect6|himslect7|himslect8|himslect9
himslect1	1. 한소네 1 강좌	himsstudy1	himslect2
himslect2	2. 한소네 2 강좌	himsstudy1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himslect2&mo=himsstudy1&&gonum=&s_que=
himslect3	3. 한소네 LX 강좌	himsstudy1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himslect3&mo=himsstudy1&&gonum=&s_que=
himslect4	4. 한소네 QX 강좌	himsstudy1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himslect4&mo=himsstudy1&&gonum=&s_que=
himslect5	5. 한소네 보이스 강좌	himsstudy1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himslect5&mo=himsstudy1&&gonum=&s_que=
himslect6	6. 책마루 강좌	himsstudy1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himslect6&mo=himsstudy1&&gonum=&s_que=
himslect7	7. 책마루 2 OCR EZ	himsstudy1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himslect7&mo=himsstudy1&&gonum=&s_que=
himslect8	8. 책마루 2 OCR ET	himsstudy1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himslect8&mo=himsstudy1&&gonum=&s_que=
himslect9	9. 기타자료실	himsstudy1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himslect9&mo=himsstudy1&&gonum=&s_que=
himspds1	9. 자료실	hims	h100|h200|h332b|h332q|h318b|v400|v400q|h432b|h432q|h418b|booksense|blaze|himsetc|himsuser|himspost
h100	1. 한소네 1	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=h100&mo=himspds1&&gonum=&s_que=
h200	2. 한소네 2	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=h200&mo=himspds1&&gonum=&s_que=
h332b	3. 한소네 LX	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=h332b&mo=himspds1&&gonum=&s_que=
h332q	4. 한소네 QX	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=h332q&mo=himspds1&&gonum=&s_que=
h318b	5. 한소네 포켓	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=h318b&mo=himspds1&&gonum=&s_que=
v400	6. 한소네 보이스	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=v400&mo=himspds1&&gonum=&s_que=
v400q	7. 한소네 보이스 QWERTY	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=v400q&mo=himspds1&&gonum=&s_que=
h432b	8. 한소네 U2	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=h432b&mo=himspds1&&gonum=&s_que=
h432q	9. 한소네 U2 QWERTY	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=h432q&mo=himspds1&&gonum=&s_que=
h418b	10. 한소네 U2 미니	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=h418b&mo=himspds1&&gonum=&s_que=
